County,Personnel Emoluments,Operations & Maintenance ,Development Expenditure,Total Expenditure,FYear,CID
Baringo,2384718802,1363372334,1466296532,5214387668,2016-2017,
Bomet,2245195272,1077393117,1491950043,4814538432,2016-2017,
Bungoma,3417281564,2730711289,1844187428,7992180281,2016-2017,
Busia,2422857698,1494932350,1963609147,5881399195,2016-2017,
Elgeyo Marakwet,2050879402,746131100,1167667198,3964677700,2016-2017,
Embu,2543582471,1116496043,2099161907,5759240421,2016-2017,
Garissa,2760350275,1921281193,2442055050,7123686518,2016-2017,
Homa Bay,2879456649,1440211660,1417516313,5737184622,2016-2017,
Isiolo,1369045355,831171169,1266238163,3466454687,2016-2017,
Kajiado,1753129073,2058391231,1250401568,5061921872,2016-2017,
Kakamega,3950535456,1685820596,5208764157,10845120209,2016-2017,
Kericho,2148962069,1429253974,2022500051,5600716094,2016-2017,
Kiambu,5305453921,2995622587,2510488718,10811565226,2016-2017,
Kilifi,2833075185,2878022342,4473125092,10184222619,2016-2017,
Kirinyaga,2171574287,991465309,1083535833,4246575429,2016-2017,
Kisii,4148352797,1822366514,2014889259,7985608570,2016-2017,
Kisumu,3402106815,1453178949,1982568299,6837854063,2016-2017,
Kitui,2821765546,1804188212,3688648678,8314602436,2016-2017,
Kwale,2005494196,1798452193,2056688001,5860634389,2016-2017,
Laikipia,2004123450,1159456443,1547089362,4710669255,2016-2017,
Lamu,721006767,805208415,467342028,1993557210,2016-2017,
Machakos,4129106860,1676115233,3343570840,9148792933,2016-2017,
Makueni,2714545316,2171432477,4036525943,8922503736,2016-2017,
Mandera,1645809439,2719646363,5831482458,10196938260,2016-2017,
Marsabit,1400872629,1948868898,2791752525,6141494052,2016-2017,
Meru,3739280877,2365749113,2238994499,8344024489,2016-2017,
Migori,2634309836,1314873334,1869609807,5818792977,2016-2017,
Mombasa,3777053256,2613434248,2743147029,9133634533,2016-2017,
Murang’a,2772159641,1622728658,2037425071,6432313369,2016-2017,
Nairobi,13422280358,7656629145,3779727323,24858636826,2016-2017,
Nakuru,5166024742,3447357772,2049831821,10663214335,2016-2017,
Nandi,1855505886,1641532947,1803756718,5300795551,2016-2017,
Narok,2967462626,2355825566,2150672199,7473960391,2016-2017,
Nyamira,2219570179,1302824673,979206352,4501601204,2016-2017,
Nyandarua,1920352233,1399944997,1642722449,4963019679,2016-2017,
Nyeri,2907282859,1557115700,1220696247,5685094806,2016-2017,
Samburu,1123086362,1780476937,1263836008,4167399307,2016-2017,
Siaya,2307288339,1339522982,1983347837,5630159158,2016-2017,
Taita Taveta,1995016544,984365949,405651476,3385033969,2016-2017,
Tana River,1239682628,527553687,1779133015,3546369330,2016-2017,
Tharaka Nithi,1668123331,559004732,546716254,2773844316,2016-2017,
Trans Nzoia,2161908317,2131337393,1711194246,6004439956,2016-2017,
Turkana,2681411280,2350087489,6159909977,11191408746,2016-2017,
Uasin Gishu,2752074361,1382140918,1460346888,5594562167,2016-2017,
Vihiga,1837710941,1087844010,793121616,3718676567,2016-2017,
Wajir,2934356602,1625055312,3688781853,8248193767,2016-2017,
West Pokot,1661183860,1577260168,1565650844,4804094872,2016-2017,
Baringo,2252071989,1163410677,1273081880,4688564546,2015-2016,
Bomet,2044617591,725340621,2300871805,5070830017,2015-2016,
Bungoma,2896192577,2355704947,3022900675,8274798199,2015-2016,
Busia,2262810177,1143961002,2487212655,5896983834,2015-2016,
Elgeyo/Marakwet,1794447050,480132737,653943787,2928523574,2015-2016,
Embu,2333814879,691030402,932312229,3957157510,2015-2016,
Garissa,2270350000,1675150057,2600898400,6546398457,2015-2016,
Homa Bay,2582898378,1290112830,1903111265,5776122473,2015-2016,
Isiolo,1373834426,753656446,1118639889,3246130761,2015-2016,
Kajiado,1794790104,1800919239,1544660489,5140369832,2015-2016,
Kakamega,3739850039,1865910595,4246534146,9852294780,2015-2016,
Kericho,1998908058,1136869113,1676540655,4812317826,2015-2016,
Kiambu,4748517349,3413111295,2265666144,10427294788,2015-2016,
Kilifi,2483630650,2259871825,3725865230,8469367704,2015-2016,
Kirinyaga,2045322183,1030138862,1065088449,4140549494,2015-2016,
Kisii,3564678554,1835060877,2540709617,7940449048,2015-2016,
Kisumu,3286388028,1324899748,1828675029,6439962805,2015-2016,
Kitui,2555923090,1542777818,3771923767,7870624675,2015-2016,
Kwale,1554626265,989016514,3257626329,5801269109,2015-2016,
Laikipia,2045465831,631095755,1317552577,3994114163,2015-2016,
Lamu,822051625,766848741,916557181,2505457547,2015-2016,
Machakos,3832524480,1956168010,2539961390,8328653880,2015-2016,
Makueni,2184415983,1816838026,1504471970,5505725979,2015-2016,
Mandera,1711158822,2390598157,5450703354,9552460333,2015-2016,
Marsabit,1221304681,1821493635,2235943669,5278741985,2015-2016,
Meru,3224233503,1325995738,1661347442,6211576683,2015-2016,
Migori,2149768244,1570540391,2152726435,5873035070,2015-2016,
Mombasa,3999944615,1770494281,2774605252,8545044148,2015-2016,
Murang’a,2416726112,910864899,2719226574,6046817585,2015-2016,
Nairobi City,13471932400,6312934809,4166156458,23951023667,2015-2016,
Nakuru,4796552740,3358169212,2230888129,10385610081,2015-2016,
Nandi,1751806945,1267851780,1974922717,4994581442,2015-2016,
Narok,2611254909,2519050034,2108603999,7238908942,2015-2016,
Nyamira,1852727649,1180811663,1284145896,4317685208,2015-2016,
Nyandarua,1688263999,1506869922,1679717342,4874851263,2015-2016,
Nyeri,2613391228,1190787424,1161269008,4965447660,2015-2016,
Samburu,1259743968,1243255935,1156640194,3659640097,2015-2016,
Siaya,1682079805,1416130837,1835091255,4933301897,2015-2016,
Taita/Taveta,1758163707,1190502773,513559982,3462226462,2015-2016,
Tana River,866183302,748399530,2250439824,3865022656,2015-2016,
Tharaka -Nithi,1448356412,456944341,790938082,2696238835,2015-2016,
Trans Nzoia,1843550993,1699982050,1789797093,5333330136,2015-2016,
Turkana,2276961651,1450084455,6432916144,10159962250,2015-2016,
Uasin Gishu,2412171214,1579301549,2220829644,6212302407,2015-2016,
Vihiga,1452166288,585803606,970277490,3008247384,2015-2016,
Wajir,2179996284,1786706123,3800349012,7767051419,2015-2016,
West Pokot,1489362887,1265941494,1595298352,4350602733,2015-2016,
