County,Recurrent Pending Bills,Development Pending,Total Pending Bills,FyearEnding,CID
Baringo,101670123,30360234,132030357,Jun2016,
Bomet,9320356,152067752,161388108,Jun2016,
Bungoma,20495947,26162319,46658266,Jun2016,
Busia,85227507,303604696,388832203,Jun2016,
Elgeyo Marakwet,88488445,725858736,814347181,Jun2016,
Embu,105922706,692321450,798244156,Jun2016,
Garissa,255143666,55356334,310500000,Jun2016,
Homa Bay,134213422,1576499564,1710712986,Jun2016,
Isiolo,50581934,255581629,306163563,Jun2016,
Kajiado,235379942,894302005,1129681947,Jun2016,
Kakamega,153753314,298224091,451977404,Jun2016,
Kericho,219342450,340368574,559711024,Jun2016,
Kiambu,107801303,280562945,388364248,Jun2016,
Kilifi,372108694,1174260190,1546368883,Jun2016,
Kirinyaga,34614977,63665704,98280681,Jun2016,
Kisii,95165320,741713984,836879304,Jun2016,
Kisumu,672690620,2583834394,3256525014,Jun2016,
Kitui,0,0,0,Jun2016,
Kwale,5491200,1442049811,1447541011,Jun2016,
Laikipia,88000000,1038814676,1126814676,Jun2016,
Lamu,63308811,125083971,188392782,Jun2016,
Machakos,,,,Jun2016,
Makueni,59723048,75528005,135251053,Jun2016,
Mandera,,140000000,140000000,Jun2016,
Marsabit,165880971,696020761,861901732,Jun2016,
Meru,260661759,1066359380,1327021139,Jun2016,
Migori,299678502,648257900,947936402,Jun2016,
Mombasa,650121239,225314687,875435926,Jun2016,
Murang’a,120687102,841991446,962678548,Jun2016,
Nairobi,3207715960,1832371340,5040087300,Jun2016,
Nakuru,984461616,2690628173,3675089789,Jun2016,
Nandi,86401908,633460957,719862865,Jun2016,
Narok,370064356,132201771,502266127,Jun2016,
Nyamira,69484785,52911702,122396487,Jun2016,
Nyandarua,137479986,484836031,622316017,Jun2016,
Nyeri,49506310,58613429,108119739,Jun2016,
Samburu,153063608,803645154,956708762,Jun2016,
Siaya,172014416,164937271,336951687,Jun2016,
Taita Taveta,183078967,526212257,709291224,Jun2016,
Tana River,193277370,491494672,684772042,Jun2016,
Tharaka Nithi,43275616,707009229,750284845,Jun2016,
Trans Nzoia,141876145,473871169,615747314,Jun2016,
Turkana,0,0,0,Jun2016,
Uasin Gishu,55250511,70506059,125756570,Jun2016,
Vihiga,113549486,1062857878,1176407364,Jun2016,
Wajir,,,,Jun2016,
West Pokot,30248592,237405259,267653851,Jun2016,
Baringo,61650000,29830000,91480000,Jun2017,
Bomet,-,269086968,269086968,Jun2017,
Bungoma,277655142,611081649,888736791,Jun2017,
Busia,268546509,557539193,826085702,Jun2017,
Elgeyo/Marakwet,124725625,660325808,785051433,Jun2017,
Embu,430438019,430023706,860461725,Jun2017,
Garissa,126500000,320328547,446828547,Jun2017,
Homa Bay,32920000,499260000,532180000,Jun2017,
Isiolo,95274316,124176194,219450510,Jun2017,
Kajiado,88276485,305773632,394050117,Jun2017,
Kakamega,282134037,274813372,556947409,Jun2017,
Kericho,106000000,290766689,396766689,Jun2017,
Kiambu,370819455,549442219,920261674,Jun2017,
Kilifi,302075380,517758502,819833882,Jun2017,
Kirinyaga,52599096,166915729,219514825,Jun2017,
Kisii,165879301,743897213,909776514,Jun2017,
Kisumu,506992377,1285853813,1792846189,Jun2017,
Kitui,-,-,-,Jun2017,
Kwale,19303730,970588044,989891774,Jun2017,
Laikipia,75641025,778933827,854574852,Jun2017,
Lamu,1634013,-,1634013,Jun2017,
Machakos,-,-,-,Jun2017,
Makueni,57902276,125583115,183485391,Jun2017,
Mandera,-,-,-,Jun2017,
Marsabit,330625322,468528492,799153814,Jun2017,
Meru,222389159,609696707,832085866,Jun2017,
Migori,292928568,572525198,865453766,Jun2017,
Mombasa,2983041685,962901871,3945943556,Jun2017,
Murang’a,99222250,1248428912,1347651162,Jun2017,
Nairobi,-,-,-,Jun2017,
Nakuru,492013193,2303789310,2795802503,Jun2017,
Nandi,148900472,664609044,813509516,Jun2017,
Narok,607612427,1045633326,1653245753,Jun2017,
Nyamira,157596235,170070223,327666458,Jun2017,
Nyandarua,163221961,567848679,731070640,Jun2017,
Nyeri,128853140,584061861,712915001,Jun2017,
Samburu,477520000,227310000,704830000,Jun2017,
Siaya,127554286,150042648,277596934,Jun2017,
Taita Taveta,150540500,130840800,281381300,Jun2017,
Tana River,92585824,853443726,946029550,Jun2017,
Tharaka Nithi,69642574,205500030,275142604,Jun2017,
Trans Nzoia,234258720,467872131,702130851,Jun2017,
Turkana,-,2900000000,2900000000,Jun2017,
Uasin Gishu,136758804,127168342,263927146,Jun2017,
Vihiga,977480000,207330000,1184810000,Jun2017,
Wajir,192808298,216563336,409371634,Jun2017,
West Pokot,23176168,89878241,113054409,Jun2017,
